timestamp,asset,price
2025-12-01 00:00:00,BTC,0.5075
2025-12-01 00:00:00,ETH,0.4881
2025-12-01 00:00:00,SOL,0.4792
2025-12-01 00:00:00,XRP,0.4816
2025-12-01 00:01:00,BTC,0.5054
2025-12-01 00:01:00,ETH,0.5012
2025-12-01 00:01:00,SOL,0.4963
2025-12-01 00:01:00,XRP,0.4806
2025-12-01 00:02:00,BTC,0.5151
2025-12-01 00:02:00,ETH,0.4901
2025-12-01 00:02:00,SOL,0.4905
2025-12-01 00:02:00,XRP,0.4909
2025-12-01 00:03:00,BTC,0.5379
2025-12-01 00:03:00,ETH,0.4609
2025-12-01 00:03:00,SOL,0.493
2025-12-01 00:03:00,XRP,0.517
2025-12-01 00:04:00,BTC,0.5344
2025-12-01 00:04:00,ETH,0.4713
2025-12-01 00:04:00,SOL,0.4973
2025-12-01 00:04:00,XRP,0.5157
2025-12-01 00:05:00,BTC,0.5309
2025-12-01 00:05:00,ETH,0.496
2025-12-01 00:05:00,SOL,0.5021
2025-12-01 00:05:00,XRP,0.5164
2025-12-01 00:06:00,BTC,0.5546
2025-12-01 00:06:00,ETH,0.5044
2025-12-01 00:06:00,SOL,0.4845
2025-12-01 00:06:00,XRP,0.5343
2025-12-01 00:07:00,BTC,0.5661
2025-12-01 00:07:00,ETH,0.4761
2025-12-01 00:07:00,SOL,0.4594
2025-12-01 00:07:00,XRP,0.5169
2025-12-01 00:08:00,BTC,0.5591
2025-12-01 00:08:00,ETH,0.4757
2025-12-01 00:08:00,SOL,0.4505
2025-12-01 00:08:00,XRP,0.5191
2025-12-01 00:09:00,BTC,0.5672
2025-12-01 00:09:00,ETH,0.4716
2025-12-01 00:09:00,SOL,0.4565
2025-12-01 00:09:00,XRP,0.5078
2025-12-01 00:10:00,BTC,0.5603
2025-12-01 00:10:00,ETH,0.4773
2025-12-01 00:10:00,SOL,0.4455
2025-12-01 00:10:00,XRP,0.5098
2025-12-01 00:11:00,BTC,0.5533
2025-12-01 00:11:00,ETH,0.4646
2025-12-01 00:11:00,SOL,0.4402
2025-12-01 00:11:00,XRP,0.5238
2025-12-01 00:12:00,BTC,0.5569
2025-12-01 00:12:00,ETH,0.4596
2025-12-01 00:12:00,SOL,0.4721
2025-12-01 00:12:00,XRP,0.499
2025-12-01 00:13:00,BTC,0.5282
2025-12-01 00:13:00,ETH,0.4383
2025-12-01 00:13:00,SOL,0.4444
2025-12-01 00:13:00,XRP,0.5157
2025-12-01 00:14:00,BTC,0.5023
2025-12-01 00:14:00,ETH,0.4416
2025-12-01 00:14:00,SOL,0.4331
2025-12-01 00:14:00,XRP,0.5211
2025-12-01 00:15:00,BTC,0.4939
2025-12-01 00:15:00,ETH,0.4208
2025-12-01 00:15:00,SOL,0.4616
2025-12-01 00:15:00,XRP,0.5232
2025-12-01 00:16:00,BTC,0.4787
2025-12-01 00:16:00,ETH,0.4274
2025-12-01 00:16:00,SOL,0.4609
2025-12-01 00:16:00,XRP,0.5434
2025-12-01 00:17:00,BTC,0.4834
2025-12-01 00:17:00,ETH,0.4162
2025-12-01 00:17:00,SOL,0.4503
2025-12-01 00:17:00,XRP,0.5315
2025-12-01 00:18:00,BTC,0.4698
2025-12-01 00:18:00,ETH,0.369
2025-12-01 00:18:00,SOL,0.4678
2025-12-01 00:18:00,XRP,0.5114
2025-12-01 00:19:00,BTC,0.4486
2025-12-01 00:19:00,ETH,0.3809
2025-12-01 00:19:00,SOL,0.4687
2025-12-01 00:19:00,XRP,0.496
2025-12-01 00:20:00,BTC,0.4706
2025-12-01 00:20:00,ETH,0.3883
2025-12-01 00:20:00,SOL,0.4634
2025-12-01 00:20:00,XRP,0.504
2025-12-01 00:21:00,BTC,0.4672
2025-12-01 00:21:00,ETH,0.4086
2025-12-01 00:21:00,SOL,0.4663
2025-12-01 00:21:00,XRP,0.4966
2025-12-01 00:22:00,BTC,0.4682
2025-12-01 00:22:00,ETH,0.3773
2025-12-01 00:22:00,SOL,0.4565
2025-12-01 00:22:00,XRP,0.4835
2025-12-01 00:23:00,BTC,0.4469
2025-12-01 00:23:00,ETH,0.3675
2025-12-01 00:23:00,SOL,0.4412
2025-12-01 00:23:00,XRP,0.4689
2025-12-01 00:24:00,BTC,0.4387
2025-12-01 00:24:00,ETH,0.3694
2025-12-01 00:24:00,SOL,0.4395
2025-12-01 00:24:00,XRP,0.4715
2025-12-01 00:25:00,BTC,0.4403
2025-12-01 00:25:00,ETH,0.378
2025-12-01 00:25:00,SOL,0.4243
2025-12-01 00:25:00,XRP,0.4711
2025-12-01 00:26:00,BTC,0.4231
2025-12-01 00:26:00,ETH,0.3561
2025-12-01 00:26:00,SOL,0.4245
2025-12-01 00:26:00,XRP,0.4498
2025-12-01 00:27:00,BTC,0.4287
2025-12-01 00:27:00,ETH,0.3626
2025-12-01 00:27:00,SOL,0.4298
2025-12-01 00:27:00,XRP,0.429
