trade_id,window_id,asset,side,group_config,group_assets,entry_time,entry_price,group_prices_entry,exit_time,exit_price,exit_reason,pnl_pct,pnl_usd,stake_size,outcome
1,20251201_0200,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-12-01T02:10:00,0.1961,"{'BTC': 0.8757, 'ETH': 0.8514, 'SOL': 0.8391}",2025-12-01T02:15:00,0.1853,WINDOW_EXPIRY,-0.010800000000000004,-0.010800000000000004,1.0,LOSS
2,20251201_0215,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-12-01T02:25:00,0.1948,"{'BTC': 0.8673, 'ETH': 0.8515, 'SOL': 0.8709}",2025-12-01T02:30:00,0.2065,WINDOW_EXPIRY,0.011699999999999988,0.011699999999999988,1.0,WIN
3,20251201_1100,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-12-01T11:10:00,0.0947,"{'BTC': 0.8006, 'ETH': 0.9804, 'SOL': 0.8964}",2025-12-01T11:15:00,0.1516,WINDOW_EXPIRY,0.056900000000000006,0.056900000000000006,1.0,WIN
4,20251201_1115,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-12-01T11:25:00,0.156,"{'BTC': 0.79, 'ETH': 0.9178, 'SOL': 0.8952}",2025-12-01T11:30:00,0.1196,WINDOW_EXPIRY,-0.0364,-0.0364,1.0,LOSS
5,20251201_1130,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-12-01T11:40:00,0.061,"{'BTC': 0.7763, 'ETH': 0.8256, 'SOL': 0.9738}",2025-12-01T11:45:00,0.129,WINDOW_EXPIRY,0.068,0.068,1.0,WIN
6,20251201_1145,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-12-01T11:55:00,0.1058,"{'BTC': 0.8238, 'ETH': 0.8939, 'SOL': 0.9029}",2025-12-01T12:00:00,0.1427,WINDOW_EXPIRY,0.03689999999999999,0.03689999999999999,1.0,WIN
7,20251201_1200,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-12-01T12:10:00,0.0622,"{'BTC': 0.7956, 'ETH': 0.9462, 'SOL': 0.8375}",2025-12-01T12:15:00,0.019,WINDOW_EXPIRY,-0.0432,-0.0432,1.0,LOSS
8,20251201_1215,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-12-01T12:25:00,0.0403,"{'BTC': 0.8969, 'ETH': 0.8678, 'SOL': 0.7598}",2025-12-01T12:30:00,0.0373,WINDOW_EXPIRY,-0.0030000000000000027,-0.0030000000000000027,1.0,LOSS
9,20251201_1300,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-12-01T13:10:00,0.7714,"{'BTC': 0.2067, 'ETH': 0.1646, 'XRP': 0.1506}",2025-12-01T13:15:00,0.7865,WINDOW_EXPIRY,-0.015100000000000002,-0.015100000000000002,1.0,LOSS
10,20251201_1315,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-12-01T13:25:00,0.8436,"{'BTC': 0.0169, 'ETH': 0.1208, 'XRP': 0.1867}",2025-12-01T13:30:00,0.8117,WINDOW_EXPIRY,0.03190000000000004,0.03190000000000004,1.0,WIN
